,id,lat,lon,cluster,cluster_size,geohash,time_ratio_weekday_True,time_ratio_weekday_False
0,0,54.8436,38.0918,0,314,202320021103223322,0.3405307211184694,0.4463496093140366
1,0,54.8849,38.0801,1,164,202320012230133313,0.2003234608780966,0.2077866677764714
2,0,54.8812,38.0673,2,359,202320012230012300,0.4346831309786608,0.2682155379605256
3,1,54.8889,38.0915,0,701,202320012230210010,0.9590631236654432,0.9274114327515935
4,2,54.8436,38.1929,0,1248,202320021032333003,0.9703711453766234,0.9905339251743818
5,2,54.8509,38.1872,1,35,202320012300333013,0.0206152394451276,5.07292327203551e-06
6,2,54.8539,38.1836,2,20,202320012300333111,6.514439353530727e-05,0.0068941027266962
11,5,54.8447,38.0953,0,139,202320012230111000,0.4575868579731834,0.5413736134057116
12,5,54.8971,38.0585,1,82,202320012230322320,0.461867761835568,0.0
13,5,54.8886,38.0974,2,35,202320012230211033,0.0791097112130097,0.4141294941389348
14,6,54.9034,38.0696,0,289,202320012230313021,0.6605933896646184,0.0
15,6,54.8932,38.078,1,589,202320012230311033,0.3266268602547842,0.9872058959793012
16,6,54.9014,38.0748,2,20,202320012230310231,0.0091214983581302,0.0
17,6,54.8955,38.0819,3,20,202320012230200201,0.0017239149277905,0.0010335070100285
26,8,54.8811,38.0551,0,371,202320012223300312,0.5029940469583404,0.8086060906164892
27,8,54.8914,38.0635,1,231,202320012230321231,0.4970059530416596,0.1913939093835107
28,9,54.8872,38.083,0,175,202320012230133223,0.5308521834407393,0.4360131785074048
29,9,54.894,38.0813,1,120,202320012230200311,0.446513270763952,0.4335179831715628
30,9,54.8953,38.0799,2,16,202320012230200320,0.0,0.1304526881894087
35,11,54.8932,38.0677,0,355,202320012230312300,0.6478191875517979,0.6034865645125472
36,11,54.8892,38.0819,1,78,202320012230200101,0.0644831773239192,0.0
37,11,54.8855,38.0537,2,38,202320012223300101,0.0202373227628121,0.0921925065829129
38,11,54.8879,38.0725,3,36,202320012230312111,0.0624016241254585,0.0440817232955807
39,11,54.88,38.1096,4,43,202320012233210131,0.0943958677314282,0.0705402747374766
40,11,54.8794,38.074,5,21,202320012230022002,0.0505097877972156,7.9312204562038e-05
45,13,54.8428,38.1908,0,292,202320021032333322,1.0,1.0
46,14,54.8419,38.1885,0,592,202320021032333332,0.9665523266546746,0.937290769211334
47,14,54.8428,38.1929,1,23,202320021032333003,0.0125788323580802,0.0
57,19,54.8921,38.0689,0,18,202320012230312232,0.0148763320119975,0.0066624717770292
58,19,54.8819,38.0542,1,684,202320012223300311,0.7614059414894419,0.9833808342895214
59,19,54.8918,38.0647,2,95,202320012230321203,0.1352095799357921,0.0
60,19,54.8791,38.0695,3,21,202320012230021013,0.0230455031877854,0.0
70,24,54.8803,38.1181,0,1782,202320012233200213,0.9779063633581024,0.9120699754881052
71,24,54.8977,38.0609,1,17,202320012230322003,0.0,0.0169308377835787
72,24,54.8871,38.0589,2,25,202320012230011122,0.0,0.0264057372620611
88,31,54.9111,38.0344,0,185,202320012223123330,0.8142541593207288,0.9993788769113836
91,33,54.8819,38.0541,0,238,202320012223300311,0.7849511216944479,0.9999912772694364
92,33,54.8842,38.0511,1,19,202320012223303212,0.0739519363328738,8.722730563575622e-06
93,33,54.8645,38.0722,2,23,202320012230031001,0.0795251597944604,0.0
94,34,54.8858,38.0868,0,1691,202320012230130101,0.8676224175020862,0.7889721355402484
95,34,54.8888,38.0847,1,29,202320012230203222,0.0025211212714377,0.0
96,34,54.8981,38.0795,2,200,202320012230200332,0.0601281918606315,0.1095308627772425
97,34,54.9,38.0846,3,68,202320012230202000,0.0158753575258222,0.0023967366034407
98,34,54.8838,38.0823,4,37,202320012230133202,0.0064723458317828,0.0006159613070842
99,34,54.8793,38.0787,5,63,202320012230133003,0.0085563993544168,0.0373123954423656
100,34,54.885,38.0884,6,30,202320012230130002,0.0032433289369675,0.0032451813610587
101,34,54.8864,38.0841,7,7,202320012230133222,0.0,0.00029959207543
102,34,54.8896,38.0781,8,19,202320012230311110,0.0,0.0392489586179458
103,34,54.8868,38.0845,9,11,202320012230130111,0.0,0.0
107,37,54.8847,38.0688,0,1382,202320012230021102,0.9160469722605008,0.676622144833981
108,37,54.8938,38.0773,1,367,202320012230311030,0.0560377435485339,0.2619709935659227
109,37,54.8873,38.0708,2,24,202320012230021211,0.0,0.00835580659546
110,37,54.8957,38.0753,3,17,202320012230311312,0.0036726506806959,0.0
111,37,54.8839,38.0728,4,21,202320012230021230,0.003540811938312,0.0
114,41,54.892,38.0794,0,322,202320012230200012,0.6976194668650918,0.7536710364548079
115,41,54.8835,38.0818,1,17,202320012230133200,0.0261114550731881,0.1072785290989211
116,41,54.8845,38.0631,2,52,202320012230012102,0.2003657989355478,0.0041441615670456
118,43,54.8937,38.0822,0,448,202320012230200203,0.8766901051232268,0.9573220862930808
119,43,54.9066,38.0431,1,22,202320012223202201,0.0172596246348673,0.0
120,43,54.8982,38.0786,2,41,202320012230311000,0.0240244179741477,0.0426779137069192
121,44,54.8406,38.159,0,948,202320021033323020,0.9563217393515728,0.9447477012054456
122,44,54.8495,38.1465,1,25,202320012300000312,0.0124536447667017,0.0127948050260166
123,44,54.85,38.145,2,30,202320012300000322,0.0123474335020247,0.0410719507610042
124,45,54.8907,38.0718,0,631,202320012230312102,0.9308002821265288,0.9927762096504488
127,48,54.8796,38.0674,0,598,202320012230012301,0.9787723296532336,0.975642543644894
129,50,54.8446,38.096,0,490,202320012230111001,0.894657091384714,0.9143144095570356
130,50,54.8914,38.077,1,33,202320012230311131,0.014357987216505,2.64298551643937e-05
131,50,54.8794,38.0667,2,60,202320012230012331,0.0034204486562523,0.0252008668992493
132,50,54.8424,38.0992,3,17,202320021103222230,0.0291601885442116,0.0
134,53,54.8498,38.1862,0,679,202320012300333022,0.975613801924595,0.9358971482420516
148,60,54.8889,38.077,0,249,202320012230311121,0.2721908620655744,1.0
149,60,54.8952,38.0464,1,209,202320012223232120,0.3201069960466534,0.0
150,60,54.8908,38.0511,2,165,202320012223232323,0.3548177723580434,0.0
151,60,54.8929,38.0483,3,23,202320012223232200,0.025966209704384,0.0
158,63,54.8552,38.1873,0,397,202320012300332330,1.0,0.9999847995824952
159,64,54.8869,38.0589,0,192,202320012230011122,1.0,1.0
160,65,54.8844,38.0554,0,1259,202320012223300013,0.9356187315482876,1.0
161,65,54.9101,38.0302,1,118,202320012223123223,0.0562251350804619,0.0
163,67,54.8847,38.1033,0,594,202320012233211132,0.9318452796987164,0.9235516214767244
164,67,54.9025,38.0765,1,48,202320012230310310,0.0410770230156315,0.0
165,67,54.8847,38.1068,2,23,202320012233210302,0.0006146546832986,0.0008669168558294
170,70,54.8907,38.0707,0,59,202320012230312130,0.2537683843715455,0.1776762402088773
171,70,54.8862,38.0743,1,179,202320012230022113,0.6820501182310007,0.8223237597911227
175,72,54.8892,38.0785,0,461,202320012230311110,0.996908357878465,1.0
176,73,54.8914,38.0659,0,683,202320012230321131,0.9571324152366396,0.8765291727201904
177,73,54.8879,38.0666,1,130,202320012230321112,0.0428675847633603,0.1182490051165434
179,75,54.8901,38.0645,0,339,202320012230321210,0.3570119655090476,0.8070398117763606
180,75,54.9052,38.0639,1,240,202320012230320130,0.6183522152905593,0.1765215776112934
184,77,54.8755,38.15,0,954,202320012300032000,0.8042233158609369,0.96468626106867
185,77,54.8742,38.1527,1,24,202320012300031321,0.0084859943405766,0.0045228723065942
