,id,lat,lon,cluster,cluster_size,inq,wd_rate,wd_all,work_place,geometry
0,2.0,54.8436,38.1929,0.0,5056.0,46681.77500003576,1.0,1.0,False,POINT (38.1929 54.8436)
1,6.0,54.9034,38.0696,0.0,989.0,15146.533333301544,0.75,0.42857142857142855,True,POINT (38.0696 54.9034)
2,6.0,54.8933,38.078,1.0,830.0,39723.66541355848,1.0,0.5714285714285714,True,POINT (38.078 54.8933)
5,13.0,54.8428,38.1908,0.0,2908.0,38369.61764717102,1.0,1.0,False,POINT (38.1908 54.8428)
6,14.0,54.8419,38.1885,0.0,2213.0,35349.094339609146,1.0,1.0,False,POINT (38.1885 54.8419)
7,24.0,54.8803,38.1181,0.0,6805.0,37322.65331411362,1.0,1.0,False,POINT (38.1181 54.8803)
8,27.0,54.8848,38.0623,0.0,16631.0,38301.27889704704,1.0,1.0,False,POINT (38.0623 54.8848)
11,34.0,54.8854,38.0864,0.0,3518.0,31316.78571420908,1.0,1.0,False,POINT (38.0864 54.8854)
12,37.0,54.8847,38.0689,0.0,6543.0,20616.03534477949,1.0,1.0,True,POINT (38.0689 54.8847)
13,44.0,54.8406,38.159,0.0,8652.0,21892.305860757828,1.0,1.0,True,POINT (38.159 54.8406)
14,45.0,54.8907,38.0718,0.0,3351.0,28241.49045062065,1.0,1.0,False,POINT (38.0718 54.8907)
16,50.0,54.8446,38.096,0.0,3833.0,20532.120071470737,1.0,1.0,True,POINT (38.096 54.8446)
17,53.0,54.8498,38.1862,0.0,1491.0,31131.3125,1.0,1.0,False,POINT (38.1862 54.8498)
20,63.0,54.8552,38.1873,0.0,6811.0,21559.182750582695,1.0,1.0,True,POINT (38.1873 54.8552)
21,65.0,54.8844,38.0554,0.0,1392.0,42205.75,1.0,1.0,False,POINT (38.0554 54.8844)
22,67.0,54.8847,38.1033,0.0,1867.0,23186.58333337307,1.0,0.8125,True,POINT (38.1033 54.8847)
25,77.0,54.8755,38.15,0.0,7273.0,38178.722222328186,1.0,1.0,False,POINT (38.15 54.8755)
26,80.0,54.8871,38.0621,0.0,8055.0,34077.537623643875,1.0,1.0,False,POINT (38.0621 54.8871)
27,81.0,54.8961,38.0771,0.0,2699.0,31094.083333313465,1.0,0.5333333333333333,True,POINT (38.0771 54.8961)
28,81.0,54.9184,38.0681,1.0,1471.0,14590.125,0.875,0.4666666666666667,True,POINT (38.0681 54.9184)
33,92.0,54.8874,38.0923,0.0,5076.0,34774.595841407776,1.0,1.0,False,POINT (38.0923 54.8874)
34,94.0,54.85,38.172,0.0,3775.0,26817.01909172535,1.0,1.0,False,POINT (38.172 54.85)
37,99.0,54.8938,38.0695,0.0,470.0,23182.342403650284,0.4444444444444444,0.3333333333333333,True,POINT (38.0695 54.8938)
38,99.0,54.8889,38.085,1.0,660.0,35456.66562503576,0.8888888888888888,0.6666666666666666,True,POINT (38.085 54.8889)
39,105.0,54.8898,38.0629,0.0,8403.0,28818.442207694054,1.0,1.0,False,POINT (38.0629 54.8898)
40,106.0,54.8857,38.0678,0.0,10872.0,39417.930476129055,1.0,1.0,False,POINT (38.0678 54.8857)
41,109.0,54.8962,38.0761,0.0,2028.0,26128.394736886024,1.0,0.56,True,POINT (38.0761 54.8962)
43,110.0,54.8951,38.0728,0.0,9613.0,23797.61173272133,0.5333333333333333,0.47058823529411764,True,POINT (38.0728 54.8951)
44,110.0,54.9023,38.0699,1.0,2511.0,33824.79899531603,0.6,0.5294117647058824,True,POINT (38.0699 54.9023)
46,120.0,54.8819,38.0545,0.0,10123.0,21469.37281471491,1.0,1.0,True,POINT (38.0545 54.8819)
49,129.0,54.8897,38.0642,0.0,15959.0,20352.171973884106,1.0,1.0,True,POINT (38.0642 54.8897)
52,148.0,54.8421,38.1884,0.0,4102.0,30032.200000047684,1.0,1.0,False,POINT (38.1884 54.8421)
53,152.0,54.8965,38.0761,0.0,2982.0,33431.74835199118,1.0,1.0,False,POINT (38.0761 54.8965)
54,154.0,54.8852,38.066,0.0,2773.0,44252.049999952316,1.0,1.0,False,POINT (38.066 54.8852)
55,155.0,54.8908,38.0904,0.0,6607.0,24130.633631765842,1.0,1.0,True,POINT (38.0904 54.8908)
58,161.0,54.8947,38.0701,0.0,2627.0,39369.11764717102,1.0,1.0,False,POINT (38.0701 54.8947)
59,163.0,54.881,38.0625,0.0,3714.0,27869.04838705063,1.0,1.0,False,POINT (38.0625 54.881)
61,172.0,54.8831,38.0603,0.0,2829.0,34779.87316733599,1.0,1.0,False,POINT (38.0603 54.8831)
62,173.0,54.8409,38.1884,0.0,19137.0,34969.34161520004,1.0,0.7333333333333333,False,POINT (38.1884 54.8409)
63,173.0,54.8948,38.0643,1.0,5774.0,15920.069444298744,0.36363636363636365,0.26666666666666666,True,POINT (38.0643 54.8948)
64,177.0,54.8934,38.0689,0.0,9233.0,36002.20789408684,1.0,1.0,False,POINT (38.0689 54.8934)
66,183.0,54.887,38.0857,1.0,1005.0,32100.96428579092,1.0,0.6153846153846154,True,POINT (38.0857 54.887)
69,191.0,54.8957,38.0744,0.0,2730.0,31524.0,1.0,1.0,False,POINT (38.0744 54.8957)
70,195.0,54.8829,38.0545,0.0,6356.0,35408.26136362553,1.0,0.5454545454545454,True,POINT (38.0545 54.8829)
71,195.0,54.8986,38.0697,1.0,4961.0,14388.656249940395,0.8333333333333334,0.45454545454545453,True,POINT (38.0697 54.8986)
72,200.0,54.8865,38.083,0.0,14092.0,45314.56489467621,1.0,1.0,False,POINT (38.083 54.8865)
73,201.0,54.9396,38.136,0.0,5422.0,28823.029411673546,1.0,0.7272727272727273,False,POINT (38.136 54.9396)
74,201.0,54.9052,38.1533,1.0,10292.0,24807.280341863632,0.375,0.2727272727272727,True,POINT (38.1533 54.9052)
77,206.0,54.8977,38.1559,0.0,9873.0,46715.554166674614,1.0,1.0,False,POINT (38.1559 54.8977)
78,208.0,54.8928,38.0788,0.0,11448.0,29069.037295937538,1.0,1.0,False,POINT (38.0788 54.8928)
80,216.0,54.875,38.1188,0.0,10425.0,38798.049679517746,1.0,1.0,False,POINT (38.1188 54.875)
81,224.0,54.8922,38.0725,0.0,2569.0,29398.133333444595,1.0,1.0,False,POINT (38.0725 54.8922)
82,227.0,54.8845,38.0774,0.0,10170.0,32145.38960158825,1.0,1.0,False,POINT (38.0774 54.8845)
83,228.0,54.9116,38.037,0.0,1707.0,49449.66666674614,0.9230769230769231,0.5,True,POINT (38.037 54.9116)
84,228.0,54.8951,38.0725,1.0,1163.0,31524.249999940395,0.9230769230769231,0.5,True,POINT (38.0725 54.8951)
86,236.0,54.8826,38.0626,0.0,12710.0,24641.62784099579,1.0,1.0,True,POINT (38.0626 54.8826)
88,240.0,54.8821,38.0619,0.0,2865.0,17481.445766687393,1.0,0.5,True,POINT (38.0619 54.8821)
93,247.0,54.8914,38.0708,0.0,3008.0,15690.829838752747,1.0,1.0,True,POINT (38.0708 54.8914)
94,249.0,54.885,38.0611,0.0,3411.0,42727.75,1.0,1.0,False,POINT (38.0611 54.885)
95,250.0,54.8922,38.0661,0.0,1460.0,18466.13043475151,1.0,0.875,True,POINT (38.0661 54.8922)
99,260.0,54.8545,38.184,0.0,8475.0,17791.65217399597,1.0,1.0,True,POINT (38.184 54.8545)
